id,country,year,continent,least_developed,life_expectancy,population,co2_emissions,health_expenditure,electric_power_consumption,forest_area,gdp_per_capita,individuals_using_the_internet,military_expenditure,people_practicing_open_defecation,people_using_at_least_basic_drinking_water_services,obesity_among_adults,beer_consumption_per_capita,avg_years_of_schooling,secondary_enroll,annotations
23,Armenia,2010,Asia,False,73.331,2877314,1.508351244,9.23539066,1661.303268,11.61081841,7507.144766,25.0,4.265646056,0.035882412,98.2004766,17.5,0.4,11.1,104.7133179,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
24,Austria,2005,Europe,False,79.33170732,8227829,9.26611356,9.62702942,7808.157792,46.66347552,35013.71404,58.0,0.850142574,0.0,99.99999704,17.0,6.42642,9.9,100.3533478,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
25,Austria,2006,Europe,False,79.8804878,8268641,8.961569195,9.5311327,7977.681597,46.69384392,37662.18517,63.6,0.785813244,0.0,100.0000029,17.5,6.41038,10.1,100.3299637,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
26,Austria,2007,Europe,False,80.1804878,8295487,8.587801761,9.53209686,8244.401952,46.72421231,39430.60917,69.37,0.900457173,0.0,99.99999706,17.9,6.39019,11.6,99.70886993,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
27,Austria,2008,Europe,False,80.43170732,8321496,8.49967402,9.72564602,8207.474739,46.75458071,41316.22518,72.87,0.870705123,0.0,100.0,18.3,6.36804,11.5,99.42073059,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
28,Austria,2009,Europe,False,80.33170732,8343323,7.721143982,10.22582531,8233.014833,46.7849491,40918.13212,73.45,0.833379565,0.0,100.0,18.7,6.11278,11.7,99.64984894,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
29,Austria,2010,Europe,False,80.5804878,8363404,8.365014901,10.22101879,7944.796096,46.8153175,42009.43853,75.17,0.821232712,0.0,100.0000029,19.2,6.1,11.8,98.80721283,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
30,Bangladesh,2005,Asia,True,67.773,139035505,0.235263641,2.41363597,165.308346,14.62960052,1754.727931,0.241637326,1.09089437,11.81975742,95.59186057,1.6,0.00012,4.5,46.96282959,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
31,Bangladesh,2006,Asia,True,68.213,140921154,0.254752395,2.48439622,176.0773264,14.60502804,1903.738526,1.0,1.108238774,10.85529088,95.76021655,1.7,0.00101,4.6,47.52978134,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
32,Bangladesh,2007,Asia,True,68.648,142660381,0.266296791,2.55897784,196.9399144,14.58045556,2067.677468,1.8,1.114480186,9.901515171,95.92502197,1.8,0.00092,4.7,48.30105972,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
33,Bangladesh,2008,Asia,True,69.072,144304164,0.288141386,2.48848343,206.104875,14.55588308,2208.616328,2.5,1.059529893,8.958818692,96.0861324,1.9,0.00089,4.8,46.24111938,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
34,Bangladesh,2009,Asia,True,69.485,145924795,0.306664813,2.56097794,207.526929,14.53130983,2308.982807,3.1,1.156730939,8.027558194,96.24343833,2.1,0.00151,4.8,49.99824142,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
35,Bangladesh,2010,Asia,True,69.881,147575433,0.342739986,2.68101048,226.0479448,14.50673734,2439.337003,3.7,1.320837396,7.107841592,96.39688709,2.2,0.0,4.9,51.63769531,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
36,Belgium,2005,Europe,False,78.9804878,10478617,10.55578237,9.26114464,8576.223497,22.41033686,33177.89095,55.82,1.091560058,0.0,100.0000006,20.5,6.05073,10.7,159.8901367,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
37,Belgium,2006,Europe,False,79.3804878,10547958,10.30057207,9.16102505,8509.997073,22.4848745,35259.18671,59.72,1.051239186,0.0,100.0000006,20.8,5.59583,11.1,161.0192108,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
38,Belgium,2007,Europe,False,79.78292683,10625700,9.843115874,9.16611385,8683.671285,22.55941215,36791.20043,64.44,1.094535301,0.0,99.99999572,21.1,5.21181,11.1,159.514267,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
39,Belgium,2008,Europe,False,79.6804878,10709973,9.984152183,9.63002014,8614.679503,22.6339498,37883.33194,66.0,1.213898317,0.0,99.99999802,21.5,5.03741,11.0,158.7434082,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
40,Belgium,2009,Europe,False,80.03414634,10796493,9.231701273,10.35455036,8521.49674,22.70848745,37749.50954,70.0,1.160039922,0.0,100.0000017,21.8,4.9406,11.1,156.6383667,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
41,Belgium,2010,Europe,False,80.18292683,10895586,9.794792242,10.23324585,7903.955479,22.7830251,39840.0882,75.0,1.084632861,0.0,99.99999861,22.2,5.03,11.1,156.8615265,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
42,Bolivia,2005,South America,False,65.312,9232301,1.088569382,5.07408142,447.1254081,49.93418259,4088.364241,5.227583957,1.772543032,26.97290818,83.76284924,13.8,2.13138,7.0,87.01776123,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
